tolerance_m,rank,length_km
0,1,68.99487050602596
0,2,39.46719370399894
0,3,23.749637798448987
0,4,23.461185197546605
0,5,21.78384607538125
0,6,20.748362270950025
0,7,20.181079270873152
0,8,18.9236860899512
0,9,18.72060758013266
0,10,18.20399739511949
5,1,68.99487050602596
5,2,39.46719370399894
5,3,23.749637798448987
5,4,23.461185197546605
5,5,21.78384607538125
5,6,20.748362270950025
5,7,20.181079270873152
5,8,18.9236860899512
5,9,18.72060758013266
5,10,18.20399739511949
10,1,68.99487050602596
10,2,39.46719370399894
10,3,23.749637798448987
10,4,23.461185197546605
10,5,21.78384607538125
10,6,20.748362270950025
10,7,20.181079270873152
10,8,19.27961812136474
10,9,18.9236860899512
10,10,18.24684647527383
20,1,68.99487050602596
20,2,39.46719370399894
20,3,29.32530568861986
20,4,24.086615663282075
20,5,23.749637798448987
20,6,21.78384607538125
20,7,20.784181710639565
20,8,20.181079270873152
20,9,19.937401916774178
20,10,19.477481219640556
50,1,68.99487050602596
50,2,46.20492698690113
50,3,39.46719370399894
50,4,37.855165429813766
50,5,29.926861811458572
50,6,26.236829325184566
50,7,25.80148889522425
50,8,23.749637798448987
50,9,23.11986728967226
50,10,21.78384607538125
