kind,prefecture,way_count,length_km
independent_cycleway,千葉県,930,337.5499438078223
independent_cycleway,埼玉県,2996,709.3798234153822
independent_cycleway,東京都,2677,436.9270055131121
independent_cycleway,栃木県,1090,309.85334920730753
independent_cycleway,神奈川県,1055,225.64854956687736
independent_cycleway,群馬県,1511,347.148985709322
independent_cycleway,茨城県,798,425.69128811745935
separated_track,千葉県,25,4.231362572479932
separated_track,埼玉県,86,22.999724624847953
separated_track,東京都,57,10.686460441220273
separated_track,神奈川県,46,8.281816579061282
separated_track,群馬県,5,1.4289278122880147
separated_track,茨城県,27,7.507947567255973
