kind,attribute,value,way_count,length_km
independent_cycleway,_total_,_all_,11056,2792.1731948350016
independent_cycleway,foot,(未設定),2837,484.64792662484626
independent_cycleway,foot,designated,7603,2172.4491225429115
independent_cycleway,foot,destination,5,0.24161804867204212
independent_cycleway,foot,no,195,27.66955536806106
independent_cycleway,foot,permissive,6,0.4681617082462722
independent_cycleway,foot,yes,410,106.6968105422651
independent_cycleway,segregated,(未設定),8650,2037.0852781047183
independent_cycleway,segregated,no,1938,689.1534020164322
independent_cycleway,segregated,now,1,0.5590645941741701
independent_cycleway,segregated,paint,1,0.10641888739216204
independent_cycleway,segregated,yes,466,65.26903123228543
independent_cycleway,bicycle,(未設定),3024,568.4988583187355
independent_cycleway,bicycle,designated,7822,2190.3078527626394
independent_cycleway,bicycle,dismount,5,0.22173095742670845
independent_cycleway,bicycle,permissive,1,0.044785179168168786
independent_cycleway,bicycle,unknown,2,1.7238347799629203
independent_cycleway,bicycle,yes,202,31.376132837069484
independent_cycleway,surface,(未設定),7155,1578.3508767579292
independent_cycleway,surface,asphalt,1908,624.705949749939
independent_cycleway,surface,compacted,9,1.2806465158402713
independent_cycleway,surface,concrete,16,1.433771933620563
independent_cycleway,surface,concrete:plates,2,0.13886409717461384
independent_cycleway,surface,dirt,6,2.852225032306337
independent_cycleway,surface,fine_gravel,4,4.347534239216155
independent_cycleway,surface,grass,6,0.890045224641779
independent_cycleway,surface,gravel,32,5.994168488643795
independent_cycleway,surface,ground,4,1.2009220141271157
independent_cycleway,surface,metal,2,0.01649296636640007
independent_cycleway,surface,paved,1773,548.4472678261099
independent_cycleway,surface,paving_stones,114,16.59101666741978
independent_cycleway,surface,rubber;asphalt,5,2.05547336180536
independent_cycleway,surface,sand,3,0.6223458804624116
independent_cycleway,surface,steel,1,0.010962913483597205
independent_cycleway,surface,unpaved,15,3.215191181712275
independent_cycleway,surface,wood,1,0.01943998420360151
independent_cycleway,lit,(未設定),10775,2719.9539860095247
independent_cycleway,lit,no,56,49.41418034207463
independent_cycleway,lit,yes,225,22.80502848340269
separated_track,_total_,_all_,245,55.110489094872676
separated_track,foot,(未設定),241,53.98142096572617
separated_track,foot,designated,1,0.02575050228074809
separated_track,foot,no,1,0.2407322755203831
separated_track,foot,yes,2,0.8625853513453798
separated_track,segregated,(未設定),242,54.57704558915858
separated_track,segregated,yes,3,0.533443505714101
separated_track,bicycle,(未設定),242,54.22215324124656
separated_track,bicycle,designated,1,0.02575050228074809
separated_track,bicycle,dismount,1,0.6104694854965538
separated_track,bicycle,yes,1,0.25211586584882606
separated_track,surface,(未設定),21,9.215216332469447
separated_track,surface,asphalt,168,32.03805916861705
separated_track,surface,paved,42,10.357044948192613
separated_track,surface,paving_stones,13,3.2480527797447336
separated_track,surface,sett,1,0.25211586584882606
separated_track,lit,(未設定),163,35.65205212613236
separated_track,lit,no,1,0.14900198999668005
separated_track,lit,yes,81,19.30943497874364
